date,close,lower,middle,upper
2007-12-13,190.39,161.20,180.88,200.55
2007-12-16,184.40,163.28,181.78,200.27
2007-12-17,182.98,166.25,182.73,199.21
2007-12-18,183.12,168.31,183.44,198.57
2007-12-19,187.21,170.93,184.38,197.83
2007-12-20,193.91,172.84,185.50,198.15
2007-12-23,198.80,174.37,186.81,199.25
2007-12-25,198.95,175.80,188.02,200.24
2007-12-26,198.57,176.43,188.93,201.44
2007-12-27,199.83,176.51,189.71,202.92
2007-12-30,198.08,177.29,190.50,203.72
2008-01-02,194.84,179.16,191.30,203.44
2008-01-03,194.93,181.11,192.06,203.01
2008-01-04,180.05,179.92,191.79,203.66
2008-01-07,177.64,177.73,191.17,204.62
2008-01-08,171.25,174.00,190.02,206.04
2008-01-09,179.40,172.71,189.28,205.84
2008-01-09,178.02,171.44,188.75,206.07
2008-01-10,172.69,169.14,187.84,206.54
2008-01-13,178.78,168.17,187.19,206.21
2008-01-14,169.04,165.53,186.12,206.72
2008-01-15,159.64,161.12,184.89,208.65
2008-01-16,160.89,157.70,183.78,209.86
2008-01-17,161.36,154.75,182.69,210.64
2008-01-21,155.64,150.78,181.12,211.45
2008-01-22,139.07,143.35,178.37,213.39
2008-01-23,135.60,136.72,175.21,213.71
2008-01-24,130.01,130.02,171.77,213.52
2008-01-27,130.01,124.64,168.34,212.04
2008-01-28,131.54,120.92,164.92,208.93
2008-01-29,132.18,118.21,161.63,205.05
2008-01-30,135.36,116.69,158.65,200.62
2008-02-01,133.75,115.91,155.60,195.29
2008-02-04,131.65,113.86,153.18,192.49
2008-02-05,129.36,111.85,150.76,189.68
2008-02-06,122.00,108.62,148.30,187.98
2008-02-07,121.24,106.80,145.39,183.99
2008-02-08,125.48,106.44,142.76,179.09
2008-02-10,129.45,106.71,140.60,174.50
2008-02-11,124.86,108.52,137.91,167.29
2008-02-12,129.40,110.27,135.92,161.58
2008-02-13,127.46,110.99,134.32,157.64
2008-02-14,124.63,112.47,132.50,152.53
2008-02-18,122.18,115.31,130.54,145.78
2008-02-19,123.82,119.03,128.95,138.87
2008-02-20,121.54,118.84,128.08,137.31
2008-02-21,119.46,117.98,127.27,136.55
2008-02-24,119.74,116.99,126.76,136.52
2008-02-25,119.15,116.01,126.21,136.42
2008-02-26,122.96,115.80,125.78,135.76
2008-02-27,129.91,115.95,125.67,135.39
2008-02-28,125.02,116.57,125.15,133.74
2008-03-03,121.73,116.86,124.55,132.24
2008-03-04,124.62,117.27,124.20,131.13
2008-03-05,124.49,117.46,123.96,130.45
2008-03-06,120.93,117.33,123.90,130.48
2008-03-07,122.25,117.45,123.95,130.46
2008-03-09,119.69,116.93,123.66,130.40
2008-03-10,127.35,117.15,123.56,129.97
2008-03-11,126.03,117.14,123.62,130.10
2008-03-12,127.94,117.31,123.54,129.78
2008-03-13,126.61,117.37,123.50,129.64
2008-03-16,126.73,117.32,123.61,129.89
2008-03-17,132.82,116.67,124.14,131.61
2008-03-18,129.67,116.57,124.43,132.29
2008-03-19,133.27,116.36,125.02,133.68
2008-03-23,139.53,115.60,126.02,136.44
2008-03-24,140.98,115.14,127.08,139.03
2008-03-25,145.06,114.58,128.38,142.18
2008-03-26,140.25,114.73,129.24,143.76
2008-03-27,143.01,114.13,129.90,145.67
2008-03-30,143.50,114.12,130.82,147.53
2008-04-01,149.53,114.12,132.21,150.30
2008-04-02,147.49,114.42,133.36,152.30
2008-04-03,151.61,114.60,134.71,154.83
2008-04-04,153.08,115.71,136.32,156.93
2008-04-07,155.89,116.75,138.00,159.26
2008-04-08,152.84,119.27,139.66,160.05
2008-04-09,151.44,120.69,140.86,161.04
2008-04-09,154.55,122.50,142.29,162.08
2008-04-10,147.14,124.56,143.25,161.94
2008-04-13,147.78,127.26,144.31,161.36
2008-04-14,148.38,130.42,145.39,160.36
2008-04-15,153.70,132.26,146.43,160.61
2008-04-16,154.49,135.47,147.68,159.88
2008-04-17,161.04,137.46,149.06,160.67
2008-04-20,168.16,136.94,150.50,164.05
2008-04-21,160.20,138.02,151.46,164.89
2008-04-22,162.89,138.35,152.35,166.35
2008-04-23,168.94,139.13,153.78,168.43
2008-04-24,169.73,139.75,155.12,170.49
2008-04-27,172.24,140.41,156.56,172.70
2008-04-28,175.05,140.07,157.83,175.59
2008-04-29,173.95,140.71,159.15,177.60
2008-05-01,180.00,140.29,160.57,180.86
2008-05-02,180.94,140.09,161.97,183.85
2008-05-05,184.73,139.51,163.41,187.31
2008-05-06,186.66,139.62,165.10,190.58
2008-05-07,182.59,140.88,166.66,192.43
2008-05-08,185.06,141.82,168.18,194.55
2008-05-09,183.45,144.76,170.00,195.24
2008-05-11,188.16,147.83,172.02,196.21
2008-05-12,189.96,151.35,174.10,196.84
2008-05-13,186.26,154.52,175.72,196.93
2008-05-14,189.73,157.92,177.49,197.05
2008-05-15,187.62,160.37,178.82,197.26
2008-05-18,183.60,161.74,179.59,197.44
2008-05-19,185.90,165.35,180.87,196.39
2008-05-20,178.19,168.53,181.64,194.75
2008-05-21,177.05,170.14,182.04,193.94
2008-05-22,181.17,172.20,182.62,193.03
2008-05-26,186.43,174.01,183.32,192.64
2008-05-27,187.01,175.34,183.92,192.51
2008-05-28,186.69,177.30,184.56,191.82
2008-05-29,188.75,177.85,185.00,192.15
2008-06-02,186.10,178.35,185.26,192.16
2008-06-03,185.37,178.39,185.29,192.19
2008-06-04,185.19,178.35,185.21,192.08
2008-06-05,189.43,178.56,185.56,192.55
2008-06-06,185.64,178.59,185.58,192.58
2008-06-09,181.61,178.33,185.49,192.65
2008-06-09,185.64,178.32,185.37,192.42
2008-06-10,180.81,177.93,184.91,191.89
2008-06-11,173.26,175.59,184.26,192.93
2008-06-12,172.37,173.62,183.39,193.16
2008-06-15,176.84,172.88,182.85,192.83
2008-06-16,181.43,172.76,182.74,192.73
2008-06-17,178.75,172.36,182.39,192.41
2008-06-18,180.90,172.67,182.52,192.38
2008-06-19,175.27,172.34,182.43,192.53
2008-06-22,173.16,171.12,182.03,192.94
2008-06-23,173.25,170.00,181.37,192.75
2008-06-24,177.39,169.71,180.89,192.07
2008-06-25,168.26,167.81,179.97,192.13
2008-06-26,170.09,166.85,179.04,191.23
2008-06-29,167.44,165.35,178.10,190.86
2008-07-01,174.68,165.20,177.57,189.94
2008-07-02,168.18,164.22,176.72,189.22
2008-07-03,170.12,164.47,175.75,187.04
2008-07-07,175.16,164.94,175.23,185.52
2008-07-08,179.55,165.07,175.13,185.18
2008-07-09,174.25,165.80,174.56,183.31
2008-07-09,176.63,166.03,174.35,182.66
2008-07-10,172.58,165.98,174.31,182.65
2008-07-13,173.88,166.10,174.39,182.68
2008-07-14,169.64,165.56,174.03,182.50
2008-07-15,172.81,165.87,173.60,181.33
2008-07-16,171.81,165.88,173.25,180.62
2008-07-17,165.15,165.17,172.46,179.76
2008-07-20,166.29,164.35,172.02,179.68
2008-07-21,162.02,162.62,171.46,180.30
2008-07-22,166.26,162.02,171.11,180.20
2008-07-23,159.03,160.12,170.19,180.27
2008-07-24,162.12,159.20,169.88,180.56
2008-07-27,154.40,156.37,169.10,181.83
2008-07-28,157.08,154.77,168.58,182.39
2008-07-29,159.88,153.83,167.84,181.86
2008-07-30,158.95,152.81,167.38,181.95
2008-08-01,156.66,151.45,166.71,181.97
2008-08-04,153.23,149.77,165.61,181.45
2008-08-05,160.64,150.12,164.67,179.21
2008-08-06,164.19,150.34,164.16,177.99
2008-08-07,163.57,150.99,163.51,176.03
2008-08-08,169.55,151.23,163.36,175.48
2008-08-10,173.56,151.27,163.34,175.41
2008-08-11,176.73,150.49,163.70,176.91
2008-08-12,179.30,149.61,164.02,178.44
2008-08-13,179.32,148.79,164.40,180.01
2008-08-14,175.74,148.51,164.93,181.34
2008-08-17,175.39,148.31,165.38,182.45
2008-08-18,173.53,148.59,165.96,183.32
2008-08-19,175.84,148.52,166.44,184.35
2008-08-20,174.29,149.31,167.20,185.09
2008-08-21,176.79,149.72,167.93,186.15
2008-08-24,172.55,151.69,168.84,185.99
2008-08-25,173.64,153.33,169.67,186.01
2008-08-26,174.67,154.60,170.41,186.21
2008-08-27,173.74,156.24,171.15,186.06
2008-08-28,169.53,158.49,171.79,185.09
2008-09-02,166.19,161.99,172.44,182.89
2008-09-03,166.96,163.49,172.75,182.02
2008-09-04,161.22,162.69,172.61,182.52
2008-09-05,160.18,161.78,172.44,183.09
2008-09-08,157.92,159.42,171.85,184.29
2008-09-09,151.68,155.44,170.76,186.08
2008-09-09,151.61,152.25,169.50,186.76
2008-09-10,152.65,150.01,168.17,186.33
2008-09-11,148.94,147.37,166.65,185.94
2008-09-14,140.36,142.82,164.88,186.95
2008-09-15,139.88,138.98,163.11,187.23
2008-09-16,127.83,132.55,160.82,189.09
2008-09-17,134.09,129.01,158.74,188.46
2008-09-18,140.91,127.27,157.07,186.87
2008-09-21,131.05,124.34,154.78,185.22
2008-09-22,126.84,120.83,152.49,184.16
2008-09-23,128.71,118.53,150.25,181.97
2008-09-24,131.93,117.58,148.11,178.64
2008-09-25,128.24,116.59,145.84,175.08
2008-09-28,105.26,110.37,142.62,174.87
2008-09-29,113.66,107.28,140.00,172.72
2008-10-01,109.12,104.19,137.10,170.01
2008-10-02,100.10,99.27,134.05,168.83
2008-10-03,97.07,94.67,130.89,167.11
2008-10-06,98.14,91.21,127.90,164.59
2008-10-07,89.16,86.02,124.78,163.53
2008-10-08,89.79,82.09,121.69,161.28
2008-10-09,88.74,79.10,118.49,157.88
2008-10-09,96.80,78.11,115.88,153.66
2008-10-12,110.26,78.35,114.38,150.40
2008-10-13,104.08,78.39,112.59,146.79
2008-10-14,97.95,77.09,111.09,145.10
2008-10-15,101.89,77.05,109.48,141.92
2008-10-16,97.40,78.07,107.31,136.55
2008-10-19,98.44,78.44,105.68,132.92
2008-10-20,91.49,77.90,103.91,129.93
2008-10-21,96.87,78.93,102.32,125.71
2008-10-22,98.23,81.82,100.63,119.45
2008-10-23,96.38,85.37,99.04,112.71
2008-10-26,92.09,84.71,98.38,112.06
2008-10-27,99.91,86.02,97.70,109.37
2008-10-28,104.55,86.58,97.47,108.36
2008-10-29,111.04,85.58,98.01,110.45
2008-10-30,107.59,85.40,98.54,111.68
2008-11-03,106.96,85.32,98.98,112.64
2008-11-04,110.99,86.23,100.07,113.92
2008-11-05,103.30,87.72,100.75,113.77
2008-11-06,99.10,89.49,101.27,113.05
2008-11-07,98.24,89.66,101.34,113.02
2008-11-09,95.88,89.49,100.62,111.75
2008-11-10,94.77,88.86,100.15,111.45
2008-11-11,90.12,87.63,99.76,111.89
2008-11-12,96.44,87.32,99.49,111.66
2008-11-13,90.24,86.30,99.13,111.97
2008-11-16,88.14,84.87,98.62,112.36
2008-11-17,89.91,84.60,98.54,112.47
2008-11-18,86.29,83.04,98.01,112.98
2008-11-19,80.49,80.23,97.12,114.01
2008-11-20,82.58,78.33,96.43,114.53
2008-11-23,92.95,78.41,96.47,114.54
2008-11-24,90.80,77.86,96.02,114.18
2008-11-25,95.00,77.83,95.54,113.25
2008-11-26,95.00,78.60,94.74,110.88
2008-11-27,92.67,79.02,93.99,108.97
2008-12-01,88.93,79.28,93.09,106.90
2008-12-02,92.47,81.22,92.17,103.11
2008-12-03,95.90,81.99,91.80,101.60
2008-12-04,91.41,82.23,91.41,100.59
2008-12-05,94.00,82.50,91.20,99.90
2008-12-08,99.72,82.11,91.39,100.67
2008-12-09,100.06,81.69,91.66,101.62
2008-12-09,98.21,81.71,92.06,102.41
2008-12-10,95.00,81.75,91.99,102.23
2008-12-11,98.27,81.81,92.39,102.97
2008-12-14,94.75,82.29,92.72,103.15
2008-12-15,95.43,82.59,93.00,103.41
2008-12-16,89.16,83.05,93.14,103.23
2008-12-17,89.43,85.20,93.59,101.97
2008-12-18,90.00,87.11,93.96,100.81
2008-12-21,85.74,85.83,93.60,101.37
2008-12-22,86.38,85.04,93.38,101.71
2008-12-23,85.04,83.80,92.88,101.96
2008-12-24,85.04,82.71,92.38,102.05
2008-12-25,85.81,81.94,92.04,102.14
2008-12-28,86.61,81.62,91.92,102.22
2008-12-29,86.29,81.01,91.61,102.21
2008-12-30,85.35,80.34,91.08,101.83
2009-01-01,85.35,79.73,90.78,101.83
2009-01-02,90.75,79.68,90.62,101.56
2009-01-05,94.58,80.10,90.36,100.63
2009-01-06,93.02,80.71,90.01,99.31
2009-01-07,91.01,81.16,89.65,98.14
2009-01-08,92.70,81.29,89.54,97.78
2009-01-09,90.58,81.98,89.15,96.33
2009-01-11,88.66,82.17,88.85,95.52
2009-01-12,87.71,82.54,88.46,94.38
2009-01-13,85.33,82.20,88.27,94.34
2009-01-14,83.38,81.55,87.97,94.39
2009-01-15,82.33,80.77,87.58,94.40
2009-01-19,78.20,79.23,87.21,95.18
2009-01-20,82.83,78.82,87.03,95.24
2009-01-21,88.36,79.02,87.19,95.37
2009-01-22,88.36,79.24,87.36,95.49
2009-01-25,89.64,79.40,87.55,95.70
2009-01-26,90.73,79.50,87.76,96.02
2009-01-27,94.20,79.45,88.15,96.86
2009-01-28,93.00,79.68,88.54,97.40
2009-01-29,90.13,80.02,88.77,97.53
2009-02-02,91.51,80.01,88.81,97.61
2009-02-03,92.98,80.13,88.73,97.34
2009-02-04,93.55,80.10,88.76,97.42
2009-02-05,96.46,79.75,89.03,98.31
2009-02-06,99.72,79.05,89.38,99.72
2009-02-09,102.51,78.09,89.98,101.87
2009-02-09,97.83,78.07,90.44,102.81
2009-02-10,96.82,78.28,90.89,103.51
2009-02-11,99.27,78.73,91.59,104.45
2009-02-12,99.16,79.70,92.38,105.05
2009-02-16,94.53,81.21,92.99,104.77
2009-02-17,94.37,84.29,93.80,103.31
2009-02-18,90.64,86.03,94.19,102.34
2009-02-19,91.20,86.51,94.33,102.15
2009-02-22,86.95,86.19,94.26,102.33
2009-02-23,90.25,86.29,94.29,102.29
2009-02-24,91.16,86.35,94.31,102.27
2009-02-25,89.19,85.78,94.06,102.35
2009-02-26,89.31,85.33,93.88,102.42
2009-03-02,87.94,84.97,93.77,102.57
2009-03-03,88.37,84.53,93.61,102.69
2009-03-04,91.17,84.38,93.52,102.66
2009-03-05,88.84,83.91,93.28,102.66
2009-03-06,85.30,82.83,92.73,102.62
2009-03-09,83.11,81.69,91.90,102.10
2009-03-09,88.63,82.22,91.20,100.18
2009-03-10,92.68,82.48,90.94,99.41
2009-03-11,96.35,82.53,90.92,99.32
2009-03-12,95.93,82.95,90.75,98.56
2009-03-15,95.42,83.46,90.57,97.67
2009-03-16,99.66,82.80,90.82,98.85
2009-03-17,101.52,81.95,91.18,100.41
2009-03-18,101.62,81.39,91.73,102.07
2009-03-19,101.59,81.02,92.25,103.48
2009-03-22,107.66,80.41,93.28,106.16
2009-03-23,106.50,80.04,94.10,108.16
2009-03-24,106.49,79.84,94.86,109.89
2009-03-25,109.87,79.71,95.90,112.08
2009-03-26,106.85,80.20,96.77,113.35
2009-03-29,104.49,81.23,97.60,113.97
2009-03-30,105.12,82.35,98.44,114.53
2009-04-01,108.69,82.98,99.32,115.65
2009-04-02,112.71,83.91,100.51,117.11
2009-04-03,115.99,85.70,102.04,118.39
2009-04-06,118.45,88.47,103.81,119.15
2009-04-07,115.00,90.78,105.13,119.48
2009-04-08,116.32,92.39,106.31,120.23
2009-04-09,119.57,93.19,107.47,121.76
2009-04-09,119.57,94.48,108.65,122.83
2009-04-12,120.22,96.26,109.89,123.53
2009-04-13,118.31,97.60,110.83,124.06
2009-04-14,117.64,98.83,111.63,124.43
2009-04-15,121.45,100.02,112.62,125.23
2009-04-16,123.42,101.36,113.72,126.07
2009-04-19,120.50,101.99,114.36,126.73
2009-04-20,121.76,102.91,115.12,127.33
2009-04-21,121.51,104.06,115.87,127.69
2009-04-22,125.40,104.46,116.65,128.84
2009-04-23,123.90,105.82,117.50,129.18
2009-04-26,124.73,108.15,118.51,128.88
2009-04-27,123.90,110.96,119.45,127.94
2009-04-28,125.14,113.09,120.27,127.46
2009-04-29,125.83,114.28,120.93,127.58
2009-05-01,127.24,114.70,121.49,128.29
2009-05-04,132.07,114.06,122.17,130.29
2009-05-05,132.71,114.39,123.06,131.72
2009-05-06,132.50,114.84,123.87,132.90
2009-05-07,129.06,115.27,124.34,133.42
2009-05-08,129.19,115.79,124.82,133.85
2009-05-10,129.57,116.30,125.29,134.29
2009-05-11,124.42,117.21,125.60,133.99
2009-05-12,119.49,117.63,125.69,133.74
2009-05-13,122.95,117.85,125.76,133.68
2009-05-14,122.42,117.72,125.71,133.70
2009-05-17,126.65,118.41,126.02,133.63
2009-05-18,127.45,118.95,126.31,133.67
2009-05-19,125.87,119.51,126.52,133.54
2009-05-20,124.18,119.39,126.46,133.54
2009-05-21,122.50,119.19,126.39,133.60
2009-05-25,130.78,119.28,126.70,134.11
2009-05-26,133.05,119.34,127.15,134.96
2009-05-27,135.07,119.15,127.65,136.15
2009-05-28,135.81,118.95,128.15,137.35
2009-06-01,139.35,118.30,128.75,139.21
2009-06-02,139.49,117.70,129.13,140.56
2009-06-03,140.95,117.02,129.54,142.05
2009-06-04,143.74,116.10,130.10,144.10
2009-06-05,144.67,115.46,130.88,146.30
2009-06-08,143.85,115.17,131.61,148.06
2009-06-09,142.72,115.13,132.27,149.41
2009-06-09,140.25,115.99,133.06,150.13
2009-06-10,139.95,118.01,134.08,150.16
2009-06-11,136.97,119.56,134.79,150.01
2009-06-14,136.09,121.40,135.47,149.54
2009-06-15,136.35,122.51,135.95,149.40
2009-06-16,135.58,123.52,136.36,149.20
2009-06-17,135.88,125.00,136.86,148.73
2009-06-18,139.48,127.34,137.63,147.92
2009-06-21,137.37,130.93,138.37,145.81
2009-06-22,134.01,131.66,138.53,145.40
2009-06-23,136.22,132.22,138.69,145.16
2009-06-24,139.86,132.67,138.93,145.19
2009-06-25,142.44,133.00,139.26,145.52
2009-06-28,141.97,133.01,139.39,145.77
2009-06-29,142.43,133.02,139.54,146.06
2009-07-01,142.83,132.97,139.63,146.29
2009-07-02,140.02,133.07,139.45,145.83
2009-07-03,140.02,133.31,139.21,145.11
2009-07-06,138.61,133.47,138.95,144.44
2009-07-07,135.40,133.18,138.59,143.99
2009-07-08,137.22,133.06,138.43,143.81
2009-07-09,136.36,132.85,138.26,143.66
2009-07-09,138.52,132.96,138.33,143.70
2009-07-12,142.34,133.10,138.65,144.19
2009-07-13,142.27,133.28,138.94,144.60
2009-07-14,146.88,133.06,139.51,145.95
2009-07-15,147.52,132.95,140.09,147.22
2009-07-16,151.75,131.88,140.70,149.53
2009-07-19,152.91,131.26,141.48,151.69
2009-07-20,151.51,131.84,142.35,152.87
2009-07-21,156.74,131.47,143.38,155.29
2009-07-22,157.82,130.87,144.28,157.68
2009-07-23,159.99,130.07,145.16,160.25
2009-07-26,160.10,129.66,146.06,162.47
2009-07-27,160.00,129.51,146.94,164.38
2009-07-28,160.03,129.54,147.80,166.06
2009-07-29,162.79,129.90,148.94,167.98
2009-07-30,163.39,130.51,150.11,169.70
2009-08-03,166.43,131.40,151.50,171.60
2009-08-04,165.55,133.47,153.01,172.54
2009-08-05,165.11,135.65,154.40,173.15
2009-08-06,163.91,138.62,155.78,172.93
2009-08-07,165.51,141.51,157.13,172.74
2009-08-09,164.72,143.94,158.25,172.55
2009-08-11,165.31,146.92,159.40,171.88
2009-08-12,168.42,148.85,160.48,172.10
2009-08-13,166.78,151.23,161.44,171.65
2009-08-16,159.59,152.64,161.83,171.02
2009-08-17,164.00,154.17,162.38,170.60
2009-08-18,164.60,156.58,163.04,169.50
2009-08-19,166.33,157.62,163.52,169.41
2009-08-20,169.22,158.31,164.09,169.87
2009-08-23,169.06,158.70,164.54,170.39
2009-08-24,169.40,159.17,165.01,170.85
2009-08-25,167.41,159.95,165.38,170.80
2009-08-26,169.45,160.75,165.85,170.95
2009-08-27,170.05,161.00,166.21,171.42
2009-08-30,168.21,161.35,166.45,171.56
2009-09-01,165.30,161.26,166.40,171.53
2009-09-02,165.18,161.23,166.38,171.53
2009-09-03,166.55,161.34,166.45,171.56
2009-09-04,170.31,161.53,166.77,172.01
2009-09-08,172.93,161.26,167.14,173.02
2009-09-09,171.14,161.44,167.46,173.48
2009-09-09,172.56,161.48,167.82,174.17
2009-09-10,172.16,161.38,168.01,174.64
2009-09-13,173.72,161.29,168.36,175.43
2009-09-14,175.16,162.73,169.14,175.54
2009-09-15,181.87,161.89,170.03,178.17
2009-09-16,184.55,161.02,171.03,181.04
2009-09-17,185.02,160.43,171.96,183.50
2009-09-20,184.02,160.06,172.70,185.34
2009-09-21,184.48,159.92,173.47,187.03
2009-09-22,185.50,159.86,174.28,188.70
2009-09-23,183.82,160.46,175.10,189.74
2009-09-24,182.37,161.01,175.74,190.48
2009-09-27,186.15,161.38,176.55,191.72
2009-09-28,185.38,162.28,177.41,192.54
2009-09-29,185.35,164.02,178.41,192.80
2009-10-01,180.86,166.20,179.19,192.19
2009-10-02,184.90,168.34,180.11,191.88
2009-10-05,186.02,169.81,180.90,191.99
2009-10-06,190.01,170.61,181.75,192.89
2009-10-07,190.25,172.14,182.71,193.28
2009-10-08,189.27,173.73,183.54,193.35
